First Initial,Second Initial,Last Name
M,J,COWART
D,F,COWEN
P,,COWPERTHWAITE
P,,COYLE
D,C,COYNE
R,,COYNE
S,,CRAWFORD
R,,CREIGHTON
T,D,CREIGHTON
A,,CREUSOT
J,,CRIPE
H,,CRISP
M,,CROCCE
J,,CRONIN
R,,CROSS
B,,CROSSE
S,G,CROWDER
A,,CUCCHIARA
H,,CUEVASLARENAS
W,,CUI
W,W,CUI
T,J,CULLEN
A,,CUMMING
C,E,CUNHA
R,,CUNNIFFE
L,,CUNNINGHAM
A,,CUOCO
E,,CUOCO
G,,CUSUMANO
R,,CUTTER
J,YANGA,CWIEK
M,,CWIOK
H,,CZYRKOWSKI
R,,DABROWSKI
L,N,DACOSTA
M,,DADINA
T,,DALCANTON
B,,DANIEL
S,L,DANILISHIN
K,,DANZMANN
A,,DASGUPTA
C,F,DASILVACOSTA
S,,DASSO
V,,DATTILO
K,,DAUMILLER
I,,DAVE
I,D,DAVIDS
M,,DAVIER
C,,DAVIS
D,,DAVIS
E,J,DAW
B,R,DAWSON
B,,DAY
J,A,DAY
M,,DAY
K,,DE
S,,DE
R,M,DEALMEIDA
J,,DEBATIN
G,,DEBONIS
D,,DEBRA
G,,DECESARE
A,,DECIA
C,,DECLERCQ
J,,DECOCK
J,,DEGALLAIX
J,S,DEGOIS
I,,DEGREGORIO-MONSALVO
G,L,DEIANA
C,,DEIL
M,,DEJONG
S,J,DEJONG
E,,DELAFUENTE
J,J,DELAUNAY
M,,DELAURENTIS
C,,DELE´ON
O,,DELIGNY
M,,DELLAVALLE
A,T,DELLER
E,,DELMONTE
R,,DELOSREYES
W,,DELPOZZO
S,,DEL´EGLISE
G,,DEMAURO
H,,DEMBINSKI
G,,DEMELLONETO
I,,DEMITRI
N,,DEMOS
M,,DENAUROIS
J,K,DENG
T,,DENKER
L,,DENNEAU
M,,DENNEFELD
T,,DENT
J,,DEOLIVEIRA
F,,DEPALMA
M,,DEPASQUALE
R,,DEPIETRI
D,L,DEPOY
V,,DERGACHEV
S,,DERIDDER
R,,DEROSA
R,T,DEROSA
C,,DEROSSI
M,,DER´E
S,,DESAI
R,,DESALVO
A,,DESCHAMPS
P,,DESIATI
V,,DESOUZA
L,,DESSART
A,,DEUGARTE-POSTIGO
O,,DEVARONA
J,,DEVENSON
T,,DEVILLEPOIX
J,,DEVIN
K,D,DEVRIES
G,C,DEWANGAN
G,,DEWASSEIGE
P,,DEWILT
M,,DEWITH
T,,DEYOUNG
S,,DHURHAR
R,,DIAZHERNEZ
S,,DICHIARA
H,T,DIEHL
R,,DIEHL
J,P,DIETRICH
L,,DIFIORE
S,W,DIGEL
M,,DIGIOVANNI
T,,DIGIROLAMO
N,,DILALLA
A,,DILIETO
V,,DILORENZO
M,,DIMAURO
G,,DIMITRIADIS
B,L,DINGUS
F,,DIOGO
S,,DIPACE
I,,DIPALMA
A,,DIPAOLA
G,,DIPERSIO
F,,DIRENZO
L,,DIRSON
S,,DISEREGOALIGHIERI
C,,DISTEFANO
L,,DIVENERE
A,,DJANNATI-ATA¨I
D,,DOBIE
C,,DOBRIGKEIT
Z,,DOCTOR
M,,DOI
V,,DOLIQUE
A,,DOMI
A,,DOMINGO
M,,DOM´INGUEZROMERO
A,,DONATH
Y,W,DONG
I,,DONNARUMMA
F,,DONOVAN
C,,DONZAUD
K,L,DOOLEY
S,,DORAVARI
D,,DORNIC
Q,,DOROSTI
I,,DORRINGTON
R,C,DOSANJOS
R,,DOUGLAS
M,T,DOVA
M,,DOVALE´ALVAREZ
J,D,DOWELL
T,P,DOWNES
M,,DRAGO
C,,DREISSIGACKER
J,C,DRIGGERS
A,,DRLICA-WAGNER
D,,DROUHIN
M,R,DROUT
L,O’C,DRURY
Y,Y,DU
Z,,DU
R,,DUBOIS
M,,DUCROT
H,,DUJMOVIC
D,,DULTZIN
J,P,DUMM
A,,DUNDOVIC
M,,DUNKMAN
P,,DUPEJ
F,,DURRET
K,,DUTSON
M,A,DUVERNOIS
E,,DVORAK
S,E,DWYER
J,,DYKS
G,,D´ALYA
A,F,D´IAZ
M,C,D´IAZ
S,,D´IAZ
J,C,D´IAZ-V´ELEZ
M,L,D´IAZCASTRO
C,B,D’
F,,D’AMICO
§S,,D’AMICO
F,,D’AMMO
S,,D’ANTONIO
P,,D’AVANZO
A,,D’A`I
V,,D’ELIA
J,C,D’OLIVO
B,,EATOUGH
B,,EBERHARDT
T,,EBERL
M,WILLMANK,EBISAWA
J,,EBR
T,B,EDO
M,C,EDWARDS
T,,EDWARDS
A,,EFFLER
T,,EFTEKHARI
MMA—LIGO-P-VK,,EGBERTS
H,-B,EGGENSTEIN
E,,EGRON
P,,EHRENS
T,,EHRHARDT
J,,EICHHOLZ
B,,EICHMANN
T,F,EIFLER
S,S,EIKENBERRY
R,A,EISENSTEIN
I,,ELBOJADDAINI
N,,ELIAS-ROSA
N,,ELKHAYATI
P,,ELLER
R,W,ELLSWORTH
E,,ELMER
D,,ELS¨ASSER
G,,EMERY
K,,EMERY
M,,EMERY
D,,EMRICH
K,,ENGEL
R,,ENGEL
O,,ENR´IQUEZ-RIVERA
A,,ENZENH¨OFER
M,,ERDMANN
M,,ERFANI
J,-P,ERNENWEIN
T,,ERSON
S,,ESCHBACH
C,O,ESCOBAR
J,,ESPADANAL
R,C,ESSICK
J,A,ESTES
D,,ESTEVEZ
A,,ETCHEGOYEN
Z,B,ETIENNE
A,,ETTAHIRI
T,,ETZEL
Y,,EVANGELISTA
M,,EVANS
P,,EVANS
P,A,EVANS
T,M,EVANS
P,A,EVENSON
M,,FACTOUROVICH
V,,FAFONE
S,,FAHEY
H,,FAIR
S,,FAIRHURST
H,,FALCKE
X,,FAN
Y,,FAN
A,,FARA
S,,FARINON
J,,FARMER
C,,FARNIER
B,,FARR
W,M,FARR
G,,FARRAR
T,J,FARRELL
F,,FASSI
E,J,FAUCHON-JONES
A,C,FAUTH
M,,FAVATA
M,,FAYS
A,R,FAZELY
N,,FAZZINI
C,,FEE
S,,FEGAN
S,J,FEGAN
H,,FEHRMANN
J,,FEICHT
U,,FEINDT
M,M,FEJER
F,,FELDBUSCH
J,,FELDE
I,,FELIS
J,,FENDER
R,P,FENDER
F,,FENU
M,V,FERNES
E,,FERNEZ
A,,FERNEZ-GALIANA
D,,FERN´EZ
M,,FEROCI
I,,FERRANTE
A,,FERRARI
E,C,FERREIRA
C,,FERRIGNO
F,,FERRINI
A,,FIASSON
B,,FICK
F,,FIDECARO
J,M,FIGUEIRA
R,,FIGUERAJAIMES
K,,FILIMONOV
A,,FILIPˇCIˇC
F,,FINET
C,,FINLEY
D,A,FINLEY
D,,FINSTAD
V,,FIORETTI
I,,FIORI
D,W,FIORINO
D,,FIORUCCI
R,E,FIRTH
M,,FISHBACH
R,P,FISHER
M,,FITZ-AXEN
R,,FLAMINIO
B,,FLAUGHER
H,,FLEISCHHACK
M,,FLETCHER
H,,FLEWELLING
S,,FLIS
A,,FL¨ORS
W,B,FOCKE
A,R,FOLEY
P,,FOLEY
H,,FONG
W,,FONG
J,A,FONT
G,,FONTAINE
C,J,FONTES
J,A,FORSYTH
S,S,FORSYTH
P,,FOSALBA
K,,FOSTER
J,-D,FOURNIER
O,D,FOX
N,,FRAIJA
D,A,FRAIL
A,,FRANCKOWIAK
T,,FRANZEN
S,,FRASCA
F,,FRASCONI
M,,FRASER
D,D,FREDERIKS
Z,,FREI
M,M,FREIRE
A,,FREISE
C,,FREMLING
R,,FREY
S,,FREY
V,,FREY
E,,FRIEDMAN
J,A,FRIEMAN
E,M,FRIES
P,,FRITSCHEL
C,,FROHMAIER
V,V,FROLOV
A,S,FRUCHTER
C,L,FRYER
M,X,FU
T,,FUCHS
T,,FUJII
Y,I,FUJII
T,,FUJIYOSHI
Y,,FUKAZAWA
P,,FULDA
S,,FUNK
H,,FURUSAWA
F,,FUSCHINO
L,A,FUSCO
P,,FUSCO
A,,FUSTER
M,,FYFFE
S,-K,FYNBO
M,,F¨USSLING
H,,GABBARD
S,,GABICI
A,V,GABOVICH
B,U,GADRE
S,M,GAEBEL
B,M,GAENSLER
J,R,GAIR
T,K,GAISSER
A,,GAL-YAM
L,,GALBANY
J,,GALLAGHER
Y,A,GALLANT
L,,GAMMAITONI
M,R,GANIJA
G,H,GAO
H,,GAO
M,,GAO
W,,GAO
S,G,GAONKAR
J,A,GARCIA
C,,GARCIA-QUIROS
B,,GARC´IA
J,,GARC´IA
J,,GARC´IA-BELLIDO
J,A,GARC´IA-GONZ´ALEZ
D,,GARC´IALAMBAS
F,,GARFIAS
F,,GARGANO
T,,GARRIGOUX
F,,GARUFI
D,,GASPARRINI
B,,GATELEY
F,,GAT´E
S,,GAUDIO
F,,GAUDIOMONTE
G,,GAUR
P,,GAY
V,,GAYATHRI
E,,GAZTANAGA
R,,GA¨IOR
M,Y,GE
N,,GEHRELS
∗G,,GEMME
H,,GEMMEKE
B,,GENDRE
E,,GENIN
A,,GENNAI
D,,GEORGE
J,,GEORGE
D,W,GERDES
L,,GERGELY
L,,GERHARDT
M,,GERHARDT
V,,GERMAIN
F,,GETMAN
A,,GHERGHEL-LASCU
P,L,GHIA
G,,GHIRLA
G,,GHISELLINI
S,,GHONGE
K,,GHORBANI
S,,GHOSH
U,,GIACCARI
S,,GIACINTUCCI
J,A,GIAIME
M,,GIAMMARCHI
W,,GIANG
T,,GIANNANTONIO
F,,GIANOTTI
K,D,GIARDINA
G,,GIAVITTO
A,,GIAZOTTO
M,H,GIBBY
T,,GIBLIN
B,,GIEBELS
J,L,GILL
K,,GILL
M,,GILLER
P,,GIOMMI
F,,GIORDANO
V,,GIORDANO
C,,GIRARDINI
M,,GIROLETTI
G,,GIUFFRIDA
A,,GIULIANI
A,,GIUNTA
T,,GLANZMAN
C,,GLASER
T,,GLAUCH
D,,GLAWION
J,F,GLICENSTEIN
H,,GLOTIN
L,,GLOVER
T,,GL¨USENKAMP
S,,GOEDHART
E,,GOETZ
R,,GOETZ
A,,GOLDSCHMIDT
A,,GOLDSTEIN
D,A,GOLDSTEIN
S,V,GOLENETSKII
G,,GOLUP
A,,GOMBOC
S,,GOMES
B,,GOMPERTZ
B,,GONCHAROV
D,R,GONC¸ALVES
T,S,GONC¸ALVES
J,G,GONZALEZ
J,M,GONZALEZCASTRO
G,,GONZ´ALEZ
M,M,GONZ´ALEZ
N,,GONZ´ALEZ
MMA—LIGO-P-VC,,GONZ´ALEZ-FERN´EZ
S,,GONZ´ALEZ-GAIT´AN
J,,GONZ´ALEZ-L´OPEZ
A,,GONZ´ALEZMU˜NOZ
A,,GOOBAR
J,A,GOODMAN
A,,GOPAKUMAR
E,S,GORBOVSKOY
I,A,GORBUNOV
A,,GORGI
M,L,GORODETSKY
S,E,GOSSAN
M,,GOSSELIN
O,,GOTTLIEB
M,,GOTTOWIK
D,,GOTTSCHALL
R,,GOUATY
R,,GRACIARUIZ
A,,GRADO
C,,GRAEF
K,,GRAF
M,,GRANATA
A,,GRANT
D,,GRANT
S,,GRAS
C,,GRAY
G,,GRECO
A,C,GREEN
D,,GREEN
J,A,GREEN
B,W,GREFENSTETTE
J,,GREINER
O,A,GRESS
E,M,GRETARSSON
Z,,GRIFFITH
A,F,GRILLO
M,,GROMADZKI
M,-H,GRONDIN
C,,GRONWALL
P,,GROOT
P,J,GROOT
H,,GROTE
∗T,D,GRUBB
D,,GRUEN
R,A,GRUENDL
S,,GRUNEWALD
P,,GRUNING
T,,GR´EGOIRE
J,,GSCHWEND
Y,D,GU
J,,GUAN
F,,GUARINO
G,P,GUEDES
G,M,GUIDI
L,,GUILLEMOT
C,C,GUO
X,,GUO
A,,GUPTA
M,K,GUPTA
S,,GUROVICH
V,,GUSAI
K,E,GUSHWA
E,K,GUSTAFSON
R,,GUSTAFSON
G,,GUTIERREZ
C,P,GUTI´ERREZ
M,,G´OMEZBERISSO
P,F,G´OMEZVITALE
D,,G´OTZ
D,,GŁAS
C,,HAACK
M,,HAGGARD
J,,HAHN
J,,HAISLIP
O,,HALIM
B,R,HALL
E,D,HALL
A,,HALLGREN
R,,HALLIDAY
G,,HALLINAN
S,,HALLMANN
F,,HALZEN
A,,HAMANOWICZ
R,,HAMBURG
E,Z,HAMILTON
G,,HAMMOND
M,R,HAMPEL
Z,,HAMPEL-ARIAS
D,W,HAN
P,J,HANCOCK
M,,HANEY
M,,HANGYU
M,M,HANKE
J,,HANKS
L,,HANLON
C,,HANNA
M,D,HANNAM
O,A,HANNUKSELA
P,,HANSEN
J,,HANSON
K,,HANSON
C,,HANYU
M,,HAOCUNYU
D,,HARARI
A,K,HARDING
J,P,HARDING
T,,HARDWICK
S,,HARITA
J,,HARMANEN
J,,HARMS
F,,HARRISON
T,A,HARRISON
G,M,HARRY
I,W,HARRY
M,J,HART
W,,HARTLEY
D,H,HARTMANN
V,M,HARVEY
T,,HASHIMOTO
C,-J,HASTER
K,,HAUGHIAN
A,,HAUNGS
M,,HAUPT
J,,HAWKES
J,,HEALY
T,,HEBBEKER
D,,HEBECKER
D,,HECK
D,,HEEREMAN
M,,HEIDA
A,,HEIDMANN
A,J,HEIJBOER
P,,HEIMANN
K,E,HEINTZ
M,C,HEINTZE
A,,HEINZE
G,,HEINZELMANN
H,,HEITMANN
K,,HELBING
R,,HELLAUER
P,,HELLO
Y,,HELLO
G,,HELOU
G,,HEMMING
M,,HENDRY
I,S,HENG
J,,HENNIG
G,,HENRI
A,W,HEPTONSTALL
G,,HERMANN
K,,HERNER
M,-S,HERNEZ
S,,HERNEZ
A,,HERNEZ-ALMADA
J,J,HERN´EZ-REY
A,E,HERVE
M,,HEURS
S,,HICKFORD
K,,HIDAKA
A,B,HIGGINS
J,,HIGNIGHT
S,,HILD
G,C,HILL
T,,HINDERER
J,A,HINTON
D,,HIRAMATSU
D,,HIRIART
J,,HJORTH
A,A,HMIYASAKA
G,,HO
D,,HOAK
S,T,HODGKIN
G,,HODOSAN
J,,HOFEST¨ADT
K,D,HOFFMAN
R,,HOFFMANN
D,,HOFMAN
W,,HOFMANN
C,,HOISCHEN
C,,HOJVAT
B,,HOKANSON-FASIG
T,L,HOLCH
M,,HOLLER
E,W,HOLT
K,,HOLT
D,E,HOLZ
D,S,HOMAN
P,,HOMOLA
B,,HONA
S,,HONDA
K,,HONSCHEID
I,M,HOOK
P,,HOPKINS
D,,HORAN
A,,HORESH
T,,HORI
D,,HORNS
L,,HORSLEY
C,,HORST
P,,HORVATH
K,,HOSHINA
G,,HOSSEINZADEH
A,,HOTAN
K,,HOTOKEZAKA
J,,HOUGH
E,A,HOUSTON
A,,HOWARDPAN
D,A,HOWELL
E,J,HOWELL
R,M,HOWIE
M,,HRABOVSK´Y
L,,HU
W,,HU
Y,,HU
Y,-D,HU
Y,M,HU
F,,HUANG
Y,,HUANG
A,,HUANG-WEIPAN
M,,HUBER
